,name,artist,meaning,lyrics
13,little things,one direction,love,Your hand fits in mine like it s made just for meBut bear this in mind  It was meant to beAnd I m joining up the dots with the freckles on your cheeksAnd it all makes sense to meI know you ve never loved the crinkles by your eyesWhen you smile  you ve never loved your stomach or your thighsThe dimples in your back at the bottom of your spineBut I ll love them endlesslyI won t let these little things slip out of my mouthBut if I do  it s you  oh it s you  they add up toI m in love with you and all these little thingsYou can t go to bed without a cup of teaAnd maybe that s the reason that you talk in your sleepAnd all those conversations are the secrets that I keepThough it makes no sense to meI know you ve never loved the sound of your voice on tapeYou never want to know how much you weighYou still have to squeeze into your jeansBut you re perfect to meI won t let these little things slip out of my mouthBut if it s true  it s you  it s you  they add up toI m in love with you and all these little things
14,all of me,john legend,love,What would I do without your smart mouth Drawin  me in and you kickin  me outYou ve got my head spinnin   no kiddin I can t pin you downWhat s goin  on in that beautiful mind I m on your magical mystery rideAnd I m so dizzy  don t know what hit meBut I ll be alrightMy head s under water  but I m breathing fineYou re crazy and I m out of my mind Cause all of meLoves all of youLove your curves and all your edgesAll your perfect imperfectionsGive your all to meI ll give my all to youYou re my end and my beginnin Even when I lose  I m winnin  Cause I give you all of meAnd you give me all of you  oh oh
15,checkmate,jena rose,love,I m tired of the games you re playingAnd I see all the moves you makeCheckmateYou re in checkmate  darlingYou loved me in the worst wayI should ve never let it slideI was blind from the first dateGuess I never saw the signsDidn t call me on my birthdaySaid okay  I ll be fineOkay  I ll be fineAnd when you wake up by yourself please tell meWho s gonna love you when I don t I m tired of the gamеs you re playingAnd I see all the moves you makеIt s too lateNo  you can t say sorryAnd after all the time you wastedThere s really nothing left to sayCheckmateYou re in checkmate  darling
16,hold on,justin bieber,love,You know you can call me if you need someoneI ll pick up the pieces if you come undonePainting stars up on your ceiling Cause you wish that you could find some feeling  yeah  youYou know you can call me if you need someoneI need you to hold onHeaven is a place not too far awayWe all know I should be the oneTo say we all make mistakes Take my hand and hold onTell me everything that you need to say Cause I know how it feels to be someone Feels to be someone who loses their wayYou re looking for answers in a place unknownYou need the connection but you can t get close Painting stars up on your ceiling Cause you wish that you could find some feeling  yeah  youYou know you can call me if you need someone
17,everybody talks,neon trees,love,Ah ah ah ahAhem  ahemHey  baby  won t you look my way I can be your new addictionHey  baby  what you got to say All you re giving me is fictionI m a sorry sucker and this happens all the timeI find out that everybody talksEverybody talks  everybody talksIt started with a whisperAnd that was when I kissed herAnd then she made my lips hurtI can hear the chit chatTake me to your love shackMama s always gotta backtrackWhen everybody talks backHey  honey  you could be my drugYou could be my new prescriptionToo much could be an overdoseAll this trash talk make me itchin 
18,mine,bazzi,love,Huh  yeah  naw I just  had a lil  bit too much of HennessyJust gotta tell you how I feel  lookYou so fuckin  precious when you smile Hit it from the back and drive you wild Girl  I lose myself up in those eye eye eye eye eyes I just had to let you know you re mine Hands on your body  I don t wanna waste no time Feels like forever even if forever s tonightJust lay with me  waste this night away with meYou re mine  I can t look away  I just gotta sayI m so fucking happy you re alive Swear to God  I m down if you re down  all you gotta say is  Right  Girl  anything I can do just to make you feel alrightOh  oh  oh  oh  I just had to let you know you re fineRunning circles  round my mindEven when it s rainy  all you ever do is shineYou on fire  you a star just like MariahMan  this feel incredible  I ll turn you into a brideYou re mine 
19,you,skylar stecker,love,Oh  oh  woahListen I ma sit you down  you gonna listen Say what s on my mind without you flippin  out Am I too nice  Push it aside  no  no  Cause I do it for you Can you do it for me  With the pieces all here Why you choose what you see I do it for you Can you do it for me Gotta know it s not fair  baby  Cause you be  you be up beside meNot like I ma fly awayButterfly s inside me  oohGiving my all  giving my all to you And lately  I m thinkin  ooh Maybe the problem is youTell me what s the motiveDancing  round the things I sayRollin  through the motions with youGiving my all  giving my all to youAnd lately  I m thinkin  oohMaybe the problem is you
20,happier,ed sheeran,love,Walking down 29th and parkI saw you in another s armOnly a month we ve been apartYou look happierSaw you walk inside a barHe said something to make you laughI saw that both your smiles were twice as wide as oursYeah  you look happier  you doAin t nobody hurt you like I hurt youBut ain t nobody love you like I doPromise that I will not take it personal  babyIf you re moving on with someone new Cause baby you look happier  you doMy friends told me one day I ll feel it tooAnd until then I ll smile to hide the truthBut I know I was happier with youSat in the corner of the roomEverything s reminding me of youNursing an empty bottle and telling myselfYou re happier  aren t you 
21,slow dancing in the dark,joji,love,I don t want a friend I want my life in two Please one more nightWaiting to get thereWaiting for you Just one more nightI m done fighting all nightWhen I m around slow dancing in the darkDon t follow me  you ll end up in my armsYou done made up your mindI don t need no more signsCan you Can you Give me reasons we should be completeYou should be with him  I can t competeYou looked at me like I was someone else  oh wellCan t you see  I don t wanna slow dance In the dark  darkWhen you gotta runJust hear my voice in you Shutting me out you Doing so great You
22,get you the moon,kina,love,You gave me a shoulder when I needed itYou showed me love when I wasn t feeling itYou helped me fight when I was giving inAnd you made me laugh when I was losing it Cause you are  you areThe reason why I m still hanging on Cause you are  you areThe reason why my head is still above waterAnd if I could  I d get you the moonAnd give it to youAnd if death was coming for youI d give my life for you Cause you are  you areThe reason why I m still hanging on Cause you are  you areThe reason why my head is still above waterAnd if I could  I d get you the moonAnd give it to youAnd if death was coming for youI d give my life for you
23,thinking out loud,ed sheeran,love,When your legs don t work like they used to beforeAnd I can t sweep you off of your feetWill your mouth still remember the taste of my love Will your eyes still smile from your cheeks And darling  I will be loving you till we re seventyAnd baby  my heart could still fall as hard at twenty threeAnd I m thinking  bout howPeople fall in love in mysterious waysMaybe just the touch of a handWell me  I fall in love with you every single dayI just wanna tell you I amSo honey  now  take me into your loving armsKiss me under the light of a thousand starsPlace your head on my beating heart  I m thinking out loudAnd maybe we found love right where we areWhen my hair s all but gone and my memory fadesAnd the crowds don t remember my nameWhen my hands don t play the strings the same wayI know you will still love me the same Cause  honey  your soul could never grow old  it s evergreenAnd baby  your smile s forever in my mind and memoryAnd I m thinking  bout how
24,one day,tate mcrae,love,She stares at her ceiling once again with a hundred thoughts Maybe he knows who I am  probably not She walks down the hall with her head down low  scared to meet his eyesEven when she hears his voice she s swarmed with butterfliesIt s impossible to get you off my mindI think about a hundred thoughts and you are ninety nineI ve understood that you will never be mineAnd that s fine  I m just breaking insideHe always walks the crowded halls and is blinded by this lightA girl who keeps her head down low and never shows her eyesHe s tried to talk to her  but there s no easy way Cause every time he raises his voice  she runs awayOh  it s impossible to get you off my mindI think about a hundred thoughts and you are ninety nineI ve understood that you will never be mineAnd that s fine  I m just breaking insideOne day  maybe she ll stayAnd start to head over his wayAnd one day  she ll look into his eyesAnd instead of breaking  she ll call him mineOne day  he ll grab her by the waistAnd force them to meet face to faceOne day  he ll look into her eyesAnd say that   You re my only light 
25,anyone,justin bieber,love,Dance with me under the diamondsSee me like breath in the coldSleep with me here in the silenceCome kiss me  silver and goldYou say that I won t lose you  but you can t predict the futureSo just hold on like you will never let goYeah  if you ever move on without meI need to make sure you know thatYou are the only one I ll ever love Yeah  you  if it s not you  it s not anyone Lookin  back on my life  you re the only good I ve ever done Yeah  you  if it s not you  it s not anyone   not anyoneForever s not enough time to Love you the way that I want  Cause every mornin   I ll find you I fear the day that I don tYou say that I won t lose you  but you can t predict the future Cause certain things are out of our controlYeah  if you ever move on without meI need to make sure you know that
26,good 4 u,olivia rodrigo,love,Well  good for you  I guess you moved on really easilyYou found a new girl and it only took a couple weeksRemember when you said that you wanted to give me the world And good for you  I guess that you ve been workin  on yourselfI guess that therapist I found for you  she really helpedNow you can be a better man for your brand new girl Well  good for youYou look happy and healthy  not meIf you ever cared to askGood for youYou re doin  great out there without me  babyGod  I wish that I could do thatI ve lost my mind  I ve spent the nightCryin  on the floor of my bathroomBut you re so unaffected  I really don t get itBut I guess good for youWell  good for you  I guess you re gettin  everything you want You bought a new car and your career s really takin  off It s like we never even happenedBaby  what the fuck is up with that  And good for you  it s like you never even met meRemember when you swore to God I was the onlyPerson who ever got you  Well  screw that  and screw youYou will never have to hurt the way you know that I do
27,saturday nights,khalid,love,Saturday nights  blueberry cigarillosSwishers make my throat hurtRolling OCB s on the side for meLight  em up and let  em both burnFamily feuds  say your mom s confusedOff of shit she doesn t wanna learnBut daddy s gone  say he s never homeAnd wishing only makes it worseI guess there s certain dreams that you gotta keep Cause they ll only know what you let  em seeAll the things that I knowThat your parents don tThey don t care like I doNowhere like I doAnd all the things that I knowThat your parents don tThey don t care like I doNowhere like I doNowhere like I doNowhere like I do
28,photograph,ed sheeran,love,Loving can hurt  loving can hurt sometimesBut it s the only thing that I knowWhen it gets hard  you know it can get hard sometimesIt is the only thing that makes us feel aliveWe keep this love in a photographWe made these memories for ourselvesWhere our eyes are never closingHearts are never brokenAnd time s forever frozen  stillSo you can keep meInside the pocket of your ripped jeansHolding me closer  til our eyes meetYou won t ever be alone  wait for me to come homeLoving can heal  loving can mend your soulAnd it s the only thing that I know  knowI swear it will get easier  remember that with every piece of yaAnd it s the only thing we take with us when we dieWe keep this love in a photographWe made these memories for ourselvesWhere our eyes are never closingHearts were never brokenAnd time s forever frozen  still
29,someone you loved,lewis capaldi,love,I m going under  and this time  I fear there s no one to save meThis all or nothing really got a way of driving me crazyI need somebody to hear   somebody to knowSomebody to have  somebody to holdIt s easy to say  but it s never the sameI guess I kinda liked the way you numbed all the painNow  the day bleeds into nightfallAnd you re not here to get me through it allI let my guard down and then you pulled the rugI was getting kinda used to being someone you lovedI m going under  and this time  I fear there s no one to turn toThis all or nothing way of loving got me sleeping without youNow  I need somebody to know  somebody to hearSomebody to have  just to know how it feelsIt s easy to say  but it s never the sameI guess I kinda like the way you help me escapeNow  the day bleeds into nightfallAnd you re not here to get me through it allI let my guard down and then you pulled the rugI was getting kinda used to being someone you loved
30,let it go,james bay,love,From walking home and talking loadsTo seeing shows in evening clothes with youFrom nervous touch and getting drunkTo staying up and waking up with youNow we re slipping near the edgeHolding something we don t needAll this delusion in our headsIs gonna bring us to our kneesSo  come on  let it go  just let it beWhy don t you be you  and I ll be me Everything that s broke  leave it to the breezeWhy don t you be you  and I ll be me And I ll be meFrom throwing clothes across the floorTo teeth and claws and slamming doors at youIf this is all we re living forWhy are we doing it  doing it  doing it anymore I used to recognize myselfIt s funny how reflections changeWhen we re becoming something elseI think it s time to walk away
31,real thing,ruel,love,I m so sick of thinking  staying up at nightI don t wanna play around  that ain t on my mindWhen I think about her face  these problems don t existBut if I m being honest with youI m tired of that fantasy  I m tired of the daydreamTired of just waiting for sleep to see youI know it s imaginary  but I think my mind is readyNeed to leave this sanctuary for something trueI just want the real thingI just want the real thingI want all the fights  you know I want all the tearsI want all the conversations  tell me all your fears Cause I know that it s hard for you to trustNo one s ever given you enoughI might need to stop and give it up Tired of that fantasy  I m tired of the daydreamTired of just waiting for sleep to see youI know it s imaginary  but I think my mind is readyNeed to leave this sanctuary for something true
32,adore you,harry styles,love,Walk in your rainbow paradise Strawberry lipstick state of mind I get so lost inside your eyesWould you believe it You don t have to say you love meYou don t have to say nothingYou don t have to say you re mineHoney I d walk through fire for youJust let me adore youOh  honey I d walk through fire for youJust let me adore youLike it s the only thing I ll ever doLike it s the only thing I ll ever doYou re wonder under summer sky Brown skin and lemon over iceWould you believe it 
33,painkiller,ruel,love,You re my painkillerWhen my brain gets bitterYou keep me closeYou keep me closeI got front row seats for the parkside livin Feel like the one  but I m one in a billionTeenage cynical  and I don t really knowWhat s the point of livin  if my heart gets broken Drivin  on the road  waiting for head on collisionSpringtime funeralI miss you  but I d rather be aloneTo keep me fromHeartbreaks  headachesThe doctor says I m diagnosed withShit days  mistakesBut I ll be fineBut I ll be fine Cause you re my painkillerWhen my brain gets bitterYou keep me closeWhen I ve been miserableAnd it takes foreverTo let my brain get betterYou keep me closeYou keep me close
34,let me down slowly,alec benjamin,love,This night is cold in the kingdomI can feel you fade awayFrom the kitchen to the bathroom sink andYour steps keep me awakeDon t cut me down  throw me out  leave me here to wasteI once was a man with dignity and graceNow I m slipping through the cracks of your cold embraceSo please  pleaseCould you find a way to let me down slowly A little sympathy  I hope you can show meIf you wanna go  then I ll be so lonelyIf you re leaving  baby let me down slowlyLet me down  downLet me down  downLet me down  let me downDown  let me down  downLet me downIf you wanna go  then I ll be so lonelyIf you re leaving  baby let me down slowlyCold skin  drag my feet on the tileAs I m walking down the corridorAnd I know we haven t talked in a whileSo I m looking for an open door
35,teenage mind,tate mcrae,love,Some girls get all done up  lose their face to repairThey attend every party  but it s taking them nowhereSome think it s funny  say they don t even careBut on the inside they wish they were thereWhat have we come to now We all wanna be like the restCan t describe just howBut we re all a beautiful messOne moment we re broken and then we re fine He called you back     Wait  wasn t he mine  One moment we re broken and then we re fineLost in the puzzle of the teenage mindSome boys make the trouble and think they re all  it Constantly in company or thrown to the ditchAnd some are just there to have a good timeIgnoring every bit of drama and each little lieYeah  what have we come to now We all wanna be like the restCan t describe just howBut we re all a beautiful mess
36,talk is overrated,jeremy zucker,love,I don t wanna smoke  I don t need a drinkJust tell me how you feel  tell me what you think Cause I ve been on my own for a fuckin  whileAnd I don t need a girl  I just wanna smileGettin  my mind rightI ll wait  til the time s rightI m meanin  to tell youWhy it s hard to sleep at nightThere s nothin  to fear nowGirl  we should be here nowSo why don t you hear me out I m sayingTalk is overrated  let s just vibeAnd love is overrated in my mindGirl  talk is overrated  let s just vibeJust for tonightI ll be yours if you want me toI ll be yours if you want me toI ve been hella stressed  I would rather chillI know you looked at me  wonder how I dealBut look inside my soul  I don t mean to front Cause really I don t know what the fuck I wantI remember when we were more than friendsI would just pretend  that was coldAfter all this shit  I could not let you inSummer went  saved up all the moneyThat I would have spentOn you  girl
37,yellow hearts,ant saunders,love,She put my name with yellow heartsHer favorite color  like the starsI didn t listen very hardWhen she told me she was crazy from the startShe put my name with yellow hearts I said she was a work of art I didn t listen very hard When she told me she was crazy from the startI drive down open roads so slowHere comes a train  I ll let it goAin t got nobody on my phoneDon t like being all alone Not good at keeping with the trends Too good at welcoming amendsIt s been a while since I ve heard her sayThat we were more than friends Oh  I  I I I  know a lot is going onBut girl  please tell meAnd I ll let you beAre you still with me or not She put my name with yellow heartsHer favorite color  like the starsI didn t listen very hardWhen she told me she was crazy from the startShe put my name with yellow hearts I said she was a work of art I didn t listen very hard When she told me she was crazy from the start
38,sugar,brockhampton,love,Spendin  all my nights alone  waitin  for you to call meYou re the only one I want by my side when I fall asleepTell me what I m waitin  for  tell me what I m waitin  forI know it s hard but we need each otherKnow it s hard but we need each otherI move mountains on my own  don t need nobody helpChanged your mind when I changed my life  better start believin  in myselfAnd we all out lookin  for  lookin  for God so we never see it in ourselfShit  divine intervention move in stealthIt s hard to tell what the prayer compelledYou can find me dancin  in between the raindropsTryna find a way to make the pain stopOvertime  on the graveyardGot a nigga feeling brainwashedMy instability s trademarkCopy written in all my decisionsThis is not supposed to be a way of livin Turned my temple down into a prison  shitSpendin  all my nights alone  waitin  for you to call meYou re the only one I want by my side when I fall asleepTell me what I m waitin  for  tell me what I m waitin  forI know it s hard but we need each otherKnow it s hard but we need each other
39,sex,eden,love,And I said what s up  What you been thinking  Cause you ve been staring at that roof so long  I swear it s come aliveAnd she spoke nine words and now we re sinkingBut I can t find it in myself to want to lie to keep this thing from going down Cause that girl took my heartAnd I ain t want it backNoI m laying down my cards Cause you said it meant nothingAnd I should ve kept my silenceBut I guess I m too attached to my own pride to let you knowThat all these words meant nothingAnd I ve always been this heartlessBut we re just having sex  no  I would never call it loveBut loveOh  no  I think I m catching feelingsAnd I don t know if this is empathy I feelJust hold onRemember why you said this was the last time 
40,skinny love,birdy,love,Come on  skinny love  just last the yearPour a little salt  we were never hereMy  my  my  my  my  my  my  my  my  myStaring at the sink of blood and crushed veneerI tell my love to wreck it allCut out all the ropes and let me fallMy  my  my  my  my  my  my  my  my  myRight in this moment  this order s tallAnd I told you to be patientAnd I told you to be fineAnd I told you to be balancedAnd I told you to be kindAnd in the morning I ll be with youBut it will be a different kindAnd I ll be holding all the ticketsAnd you ll be owning all the finesCome on  skinny love  what happened here Suckle on the hope in light brassieresMy  my  my  my  my  my  my  my  my  mySullen load is full  so slow on the split
41,happiest year,jaymes young,love,I m really on the ropes this timeI ve been fighting all my life for youI never should ve said goodbyeBut maybe that s what stupid people do Cause you gave me peaceAnd I wasted itI m here to admitThat you were my medicineOh  I couldn t quitAnd I m down on my knees againAsking for nothingThank you for the happiest year of my lifeThank you for the happiest year of my life  oohOoh  ooh  oohDon t think I could forgive myselfI m sorry for the ways that I used youAnd I could care less right nowBut you know  you hurt me pretty good too
42,waiting,kian,love,Can I take you back to the day we met When I stuttered all my wordsAnd I know that made you laughAnd the way you flicked your hairAnd I saw the smile you hadYeah  I know  there s somethin   there s somethin Oh  there s somethin   bout youYou been gone a while  I m like where you been Just split with another man  isn t that like number ten You say you feelin  alone and now you need a friendAnd oh  there s somethin   there s somethin   ohThere s somethin   bout you  youThere s somethin   bout youThere s somethin   boutThere s somethin   bout you If you got a moment to spare  I ve got something to sayI m usually impatient  but girl  I ll be happy to waitI m losing sleep over dreamin  of you Cause if it ain t me  then who If you feel the same Hope you feel the same If you feel the same Hope you feel the same
43,i like me better,lauv,love,To be young and in love in New York CityTo not know who I am but still know that I m good long as you re here with meTo be drunk and in love in New York CityMidnight into morning coffee  burning through the hours talkingDamnI like me better when I m with youI like me better when I m with youI knew from the first time  I d stay for a long time   causeI like me better when  I like me better when I m with youI don t know what it is but I got that feelingWaking up in this bed next to you swear the room  yeah  it got no ceilingIf we lay  let the day just pass us byI might get to too much talking  I might have to tell you somethingDamnI like me better when I m with youI like me better when I m with youI knew from the first time  I d stay for a long time   causeI like me better when  I like me better when I m with you
44,just my type,the vamps,love,M m m m m my    more than meets the eyeTo tell the truth would be a lieI saw her out on Friday night  misunderstoodShe s falling for a guyThat cigarette  it needs a lightPluck up the courage and invite her nowhere good Cause I need this more than just a one night standNeed that honey when she hold my handTimes like this they call for true romanceBut she s not ready for thatShe lets me downThen gets me highOh I don t know whyShe s just my typeShe s bad adviceI don t think twiceOh I don t know whyShe s what I likeBut I  I  I love itI  I  I love itLove the way she plays with my headShe lets me downThen gets me highOh I don t know whyShe s just my type
45,somebody to you,the vamps,love,Yeah  you Yeah  you I used to wanna beLiving like there s only meBut now I spend my timeThinking  bout a way to get you off my mind I used to be so toughNever really gave enoughAnd then you caught my eyeGiving me the feeling of a lightning strike Look at me now  I m fallingI can t even talk  still stutteringThis ground I m on  it keeps shakingOh oh oh  now All I wanna be  yeah all I ever wanna be  yeah  yeahIs somebody to youAll I wanna be  yeah all I ever wanna be  yeah  yeahIs somebody to youEverybody s trying to be a billionaireBut every time I look at you I just don t care Cause all I wanna be  yeah all I ever wanna be  yeah  yeahIs somebody to you 
46,waiting for love,avicii,love,Where there s a will  there s a way  kinda beautifulAnd every night has its day  so magicalAnd if there s love in this life  there s no obstacleThat can t be defeatedFor every tyrant a tear for the vulnerableIn every lost soul the bones of a miracleFor every dreamer a dream we re unstoppableWith something to believe inMonday left me brokenTuesday I was through with hopin Wednesday my empty arms were openThursday waiting for love  waiting for loveThank the stars it s FridayI m burning like a fire gone wild on SaturdayGuess I won t be coming to church on SundayI ll be waiting for loveWaiting for love to come aroundWe are one of a kind  irreplaceableHow did I get so blind and so cynical If there s love in this life we re unstoppableNo  we can t be defeated
47,you are the reason,calum scott,love,There goes my heart beating Cause you are the reasonI m losing my sleepPlease come back nowAnd there goes my mind racingAnd you are the reasonThat I m still breathingI m hopeless nowI d climb every mountainAnd swim every oceanJust to be with youAnd fix what I ve brokenOh   cause I need you to seeThat you are the reasonThere goes my hands shakingAnd you are the reasonMy heart keeps bleedingI need you nowIf I could turn back the clockI d make sure the light defeated the darkI d spend every hour of every dayKeeping you safe
