,ARTIST_NAME,SONG_NAME,LYRICS,Unnamed: 0,name,artist,meaning
10,5 seconds of summer,easier,"is it easier to stay? is it easier to go?, i don't wanna know, oh, but i know that i'm never, ever gonna change, and you know you don't want it any other way, why do we always gotta run away?, and we wind up in the same place, it's like we're looking for the same thing, same thing, yeah, yeah, do we really gotta do this now?, right here with all your friends around, in the morning, we can work it out, work it out, i love you so much that i hate you, right now, it's so hard to blame you, 'cause you're so damn beautiful, you're so damn beautiful, is it easier to stay? is it easier to go?, i don't wanna know, oh, but i know that i'm never, ever gonna change, and you know that you're always gonna stay the same, is it easier to stay? is it easier to go?, i don't wanna know, oh, but i know that i'm never, ever gonna change, and you know you don't want it any other way, every time that you say you're gonna leave, that's when you get the very best of me, you know we need it like the air we breathe, air we breathe, yeah, i love you so much that i hate you, right now, it's so hard to blame you, 'cause you're so damn beautiful, you're so damn beautiful, is it easier to stay? is it easier to go?, i don't wanna know, oh, but i know that i'm never, ever gonna change, and you know that you're always gonna stay the same, is it easier to stay? is it easier to go?, i don't wanna know, oh, but i know that i'm never, ever gonna change, and you know you don't want it any other way, the hardest part of all, is that we're only built to fall, is it easier to stay? is it easier to go?, i don't wanna know, oh, but i know that i'm never, ever gonna change, and you know that you're always gonna stay the same, is it easier to stay? is it easier to go?, i don't wanna know, oh, but i know that i'm never, ever gonna change, and you know you don't want it any other way, i love you so much that i hate you, right now, it's so hard to blame you, 'cause you're so damn beautiful",1412,easier,5 seconds of summer,breakup
11,5 seconds of summer,teeth,"some days, you're the only thing i know, only thing that's burning when the nights grow cold, can't look away, can't look away, beg you to stay, beg you to stay, yeah, sometimes, you're a stranger in my bed, don't know if you love me or you want me dead, push me away, push me away, then beg me to stay, beg me to stay, yeah, call me in the morning to apologize, every little lie gives me butterflies, something in the way you're looking through my eyes, don't know if i'm gonna make it out alive, fight so dirty, but your love so sweet, talk so pretty, but your heart got teeth, late night devil, put your hands on me, and never, never, never ever let go, fight so dirty, but your love so sweet, talk so pretty, but your heart got teeth, late night devil, put your hands on me, and never, never, never ever let go, some days, you're the best thing in my life, sometimes when i look at you, i see my wife, then you turn into somebody i don't know, and you push me away, push me away, yeah, call me in the morning to apologize, every little lie gives me butterflies, something in the way you're looking through my eyes, don't know if i'm gonna make it out alive, fight so dirty, but your love so sweet, talk so pretty, but your heart got teeth, late night devil, put your hands on me, and never, never, never ever let go, fight so dirty, but your love so sweet, talk so pretty, but your heart got teeth, late night devil, put your hands on me, and never, never, never ever let go, blood on my shirt, rose in my hand, you're looking at me like you don't know who i am, blood on my shirt, heart in my hand, still beating, fight so dirty, but your love so sweet, talk so pretty, but your heart got teeth, late night devil, put your hands on me, and never, never, never ever let go, fight so dirty, but your love so sweet, talk so pretty, but your heart got teeth, late night devil, put your hands on me, and never, never, never ever let go, teeth, teeth, teeth, never, never, never ever let go",1400,teeth,5 seconds of summer,breakup
12,alan jackson,when we all get to heaven,"sing the wondrous love of jesus;, sing his mercy and his grace. in the mansions bright and blessed, he'll prepare for us a place. when we all get to heaven, what a day of rejoicing that will be!, when we all see jesus, we'll sing and shout the victory!, onward to the prize before us!, soon his beauty we'll behold;, soon the pearly gates will open;, we shall tread the streets of gold.",3532,when we all get to heaven,alan jackson,religion
13,all sons & daughters,great are you lord,"you give life, you are love, you bring light to the darkness, you give hope, you restore, every heart that is broken, great are you, lord, it's your breath in our lungs, so we pour out our praise, we pour out our praise, it's your breath in our lungs, so we pour out our praise, to you only, you give life, you are love, you bring light to the darkness, you give hope, you restore, every heart that is broken, great are you, lord, it's your breath in our lungs, so we pour out our praise, we pour out our praise, it's your breath in our lungs, so we pour out our praise, to you only, all the earth will shout, your praise, our hearts will cry, these bones will sing, great are you, lord, it's your breath in our lungs, so we pour out our praise, we pour out our praise, it's your breath in our lungs, so we pour out our praise, to you only,",3649,great are you lord,all sons & daughters,religion
14,ariana grande,let me love you,", i just broke up with my ex, now i'm out here single, i don't really know what's next, but i ain't even trippin', i'mma chill and sit back, and i know they will be coming from the right and the left, left, left, i just broke up with my ex, you're the one i'm feeling as i'm laying on your chest, good conversation got me holding my breath, and i don't normally say this but goddamn, you're the best, best, best, and if it feels right, promise i don't mind, and if it feels right, promise i'll stay here all night, just let me lo-o-o-o-o-o-o-love you, you, just let me lo-o-o-o-o-o-o-love you, you, just let me lo-o-o-o-o-o-o-love you, you, just let me lo-o-o-o-o-o-o-love you, you, as i'm laying on your chest, i'll be out here thinkin' 'bout it, boy, it's just a guess, but something just keeps telling me i'm better than the rest, and i ain't tryna rush you, but goddamn, i'm a mess, mess, mess, and if it feels right, promise i don't mind, and if it feels right, promise i'll stay here all night, just let me lo-o-o-o-o-o-o-love you, you, just let me lo-o-o-o-o-o-o-love you, you, just let me lo-o-o-o-o-o-o-love you, you, just let me lo-o-o-o-o-o-o-love you, you, i say, girl",2713,let me love you,ariana grande,sex
15,ariana grande,"thank u, next","thought i'd end up with sean, but he wasn't a match, wrote some songs about ricky, now i listen and laugh, even almost got married, and for pete, i'm so thankful, wish i could say, thank you"" to malcolm",980,"thank u, next",ariana grande,breakup
16,adina howard,t-shirt & panties,", hello, yo, what's up this is jamie, what you doing?, i was just thinking about you, yeah, i was thinking about you too. i just got one question to ask you though?, what's that?, what do you have on right now?, t-shirt & my panties on, t-shirt & my panties on, t-shirt & my panties on, t-shirt & my panties, got my t-shirt & my panties on, picture this, i'm in my bed, body's hot, soak 'n wet. thinking bout the things i like to do, i'm open wide when it comes to freakin you. imagine me, wet as can be, between my legs, you tasting me boy when you get here ya know my, love will over flow and you ain't got to worry bout my clothes cause i got my, t-shirt & my panties on, t-shirt & my panties on, t-shirt & my panties on, t-shirt & my panites, got my t-shirt & my panties on, don't be susprised when you come inside, saddle up and be prepared to ride, up and down, back and forth, can you feel me, baby why don't you just, take your time, tonight you're mine, gonna turn around, hit it from behind, boy now that you're here you know my love will over flow, and you ain't got to worry bout my clothes, cause i got my, t-shirt & my panties on, t-shirt & my panties on, t-shirt & my panties on, t-shirt & my panties, got my t-shirt & my panties on, don't you know, i'm feeling kinda sexy, now that we are all alone, baby can we do the nasty, in the privacy of our own home, baby come a little closer, i unplugged all the telephones, because tonight is special, i got my t-shirt and panties on,",2821,t-shirt & panties,adina howard,sex
17,alan walker,darkside,", we're not in love, we share no stories, just something in your eyes, don't be afraid, the shadows know me, let's leave the world behind, take me through the night, fall into the dark side, we don't need the light, we'll live on the dark side, i see it, let's feel it, while we're still young and fearless, let go of the light, fall in to the dark side, fall in to the dark side, give into the dark side, let go of the light, fall in to the dark side, beneath the sky, as black as diamonds, we're running out of time, don't wait for truth, to come and blind us, let's just believe their lies, believe it, i see it, i know that you can feel it, no secrets worth keeping, so fool me like i'm dreaming, take me through the night, fall in to the dark side, we don't need the light, we'll live on the dark side, i see it, let's feel it, while we're still young and fearless, let go of the light, fall in to the dark side, fall in to the dark side, give into the dark side, let go of the light, fall in to the dark side, dark side, dark side, dark side, dark side, take me through the night, fall into the dark side, we don't need the light, we'll live on the dark side, i see it, let's feel it, while we're still young and fearless, let go of the light, fall in to the dark side",2237,darkside,alan walker,party
18,amy shark,adore,"i'm just gonna stand with my bag hanging off my left arm, i'm just gonna walk home kicking stones at parked cars, but i had a great night, 'cause you kept rubbing against my arm, i'm just gonna stand with my bag hanging off my left arm, get me a drink, i get drunk off one sip, just so i can adore you, i want the entire street out of town just so i can be alone with you, now go when you're ready, my head's getting heavy, pressed against your arm, i adore you, all of my money is spent on these nights, just so we can hang out, squeezing in and out of these dresses, i wanna be found by you, found by you, get me a drink, i get drunk off one sip, just so i can adore you, i want the entire street out of town just so i can be alone with you, now go when you're ready, my head's getting heavy, pressed against your arm, i adore you, i adore you, i kick the gutter in tight shorts, basketball courts, watch me, watch him talk to girls, i'm known as a right-hand slugger, anybody else wanna touch my lover?, get me a drink, i get drunk off one sip, just so i can adore you, i want the entire street out of town just so i can be alone with you, now go when you're ready, my head's getting heavy, pressed against your arm, just to adore you, i adore you",1064,adore,amy shark,breakup
19,avril lavigne,complicated,"uh huh, life's like this, uh huh, uh huh, that's the way it is, 'cause life's like this, uh huh, uh huh that's the way it is, chill out, what you yellin' for?, lay back, it's all been done before, and if you could only let it be, you will see, i like you the way you are, when we're drivin' in your car, and you're talkin' to me one on one, but you've become. somebody else 'round everyone else, you're watchin' your back like you can't relax, you're tryin' to be cool, you look like a fool to me, tell me, why'd you have to go and make things so complicated?, i see the way you're actin' like you're somebody else, gets me frustrated, life's like this, you, you fall and you crawl and you break, and you take what you get and you turn it into honesty, you promised me i'm never gonna find you fake it, no, no, no, you come over unannounced, dressed up like you're somethin' else, where you are and where it's at, you see, you're makin' me, laugh out when you strike your pose, take off all your preppy clothes, you know, you're not foolin' anyone, when you become, somebody else 'round everyone else, you're watchin' your back like you can't relax, you're tryin' to be cool, you look like a fool to me, tell me, why'd you have to go and make things so complicated?, i see the way you're actin' like you're somebody else, gets me frustrated, life's like this, you, you fall and you crawl and you break, and you take what you get and you turn it into honesty, you promised me i'm never gonna find you fake it, no, no, no, no, no, no, no, no, no, no, no, no, chill out, what you yellin' for?, lay back, it's all been done before, and if you could only let it be, you will see. somebody else 'round everyone else, you're watchin' your back like you can't relax, you're tryin' to be cool, you look like a fool to me, tell me, why'd you have to go and make things so complicated?, i see the way you're actin' like you're somebody else, gets me frustrated, life's like this, you, you fall and you crawl and you break, and you take what you get and you turn it into honesty, you promised me i'm never gonna find you fake it, no no, why'd you have to go and make things so complicated?, i see the way you're actin' like you're somebody else, gets me frustrated, life's like this, you, you fall and you crawl and you break, and you take what you get and you turn it into honesty, you promised me i'm never gonna find you fake it, no no no",982,complicated,avril lavigne,breakup
20,avril lavigne,i'm with you,"i'm standing on a bridge, i'm waiting in the dark, i thought that you'd be here by now, there's nothing but the rain, no footsteps on the ground, i'm listening but there's no sound, isn't anyone trying to find me?, won't somebody come take me home?, it's a damn cold night, trying to figure out this life, won't you take me by the hand?, take me somewhere new, i don't know who you are, but i. i'm with you, i'm with you, i'm looking for a place, i'm searching for a face, is anybody here i know, 'cause nothing's going right, and everything's a mess, and no one likes to be alone, isn't anyone trying to find me?, won't somebody come take me home?, it's a damn cold night, trying to figure out this life, won't you take me by the hand?, take me somewhere new, i don't know who you are, but i. i'm with you, i'm with you, oh why is everything so confusing, maybe i'm just out of my mind, yeah-he-yaa, yeah-he-yah, yeah-he-yah, yeah-he-yah, yeah!, it's a damn cold night, trying to figure out this life, won't you take me by the hand?, take me somewhere new, i don't know who you are, but i. i'm with you, i'm with you, take me by the hand, take me somewhere new, i don't know who you are, but i. i'm with you, i'm with you, take me by the hand, take me somewhere new, i don't know who you are, but i. i'm with you, i'm with you, i'm with you.",1410,i'm with you,avril lavigne,breakup
21,avril lavigne,my happy ending,"so much for my happy ending, so much for my happy ending, let's talk this over, it's not like we're dead, was it something i did?, was it something you said?, don't leave me hanging, in a city so dead, held up so high, on such a breakable thread, you were all the things i thought i knew, and i thought we could be, you were everything, everything that i wanted, we were meant to be, supposed to be, but we lost it, all of the memories, so close to me, just fade away, all this time you were pretending, so much for my happy ending, so much for my happy ending, you've got your dumb friends, i know what they say, they tell you i'm difficult, but so are they, but they don't know me, do they even know you?, all the things you hide from me, all the shit that you do, you were all the things i thought i knew, and i thought we could be, you were everything, everything that i wanted, we were meant to be, supposed to be, but we lost it, all of the memories, so close to me, just fade away, all this time you were pretending, so much for my happy ending, it's nice to know that you were there, thanks for acting like you cared, and making me feel like i was the only one, it's nice to know we had it all, thanks for watching as i fall, and letting me know we were done, he was everything, everything that i wanted, we were meant to be, supposed to be, but we lost it, all of the memories, so close to me, just fade away, all this time you were pretending, so much for my happy ending, you were everything, everything that i wanted, we were meant to be, supposed to be, but we lost it, all of the memories, so close to me, just fade away, all this time you were pretending, so much for my happy ending, so much for my happy ending, so much for my happy ending",1395,my happy ending,avril lavigne,breakup
22,avril lavigne,my happy ending,"so much for my happy ending, let's talk this over, it's not like we're dead, was it something i did?, was it something you said?, don't leave me hanging, in a city so dead, held up so high, on such a breakable thread, you were all the things i thought i knew, and i thought we could be, you were everything, everything that i wanted, we were meant to be, supposed to be, but we lost it, all of the memories, so close to me, just fade away, all this time you were pretending, so much for my happy ending, so much for my happy ending, you've got your dumb friends, i know what they say, they tell you i'm difficult, but so are they, but they don't know me, do they even know you?, all the things you hide from me, all the stuff that you do, you were all the things i thought i knew, and i thought we could be, you were everything, everything that i wanted, we were meant to be, supposed to be, but we lost it, all of the memories, so close to me, just fade away, all this time you were pretending, so much for my happy ending, it's nice to know that you were there, thanks for acting like you cared, and making me feel like i was the only one, it's nice to know we had it all, thanks for watching as i fall, and letting me know we were done, he was everything, everything that i wanted, we were meant to be, supposed to be, but we lost it, all of the memories, so close to me, just fade away, all this time you were pretending, so much for my happy ending, you were everything, everything that i wanted, we were meant to be, supposed to be, but we lost it, all of the memories, so close to me, just fade away, all this time you were pretending, so much for my happy ending, so much for my happy ending",1395,my happy ending,avril lavigne,breakup
23,avril lavigne,when you're gone,"i always needed time on my own, i never thought i'd need you there when i cry, and the days feel like years when i'm alone, and the bed where you lie, is made up on your side, when you walk away i count the steps that you take, do you see how much i need you right now?, when you're gone, the pieces of my heart are missing you, when you're gone, the face i came to know is missing too, when you're gone, the words i need to hear to always get me through the day, and make it ok, i miss you, i've never felt this way before, everything that i do reminds me of you, and the clothes you left, they lay on the floor, and they smell just like you, i love the things that you do, when you walk away, i count the steps that you take, do you see how much i need you right now?, when you're gone, the pieces of my heart are missing you, when you're gone, the face i came to know is missing too, when you're gone, the words i need to hear, to always get me through the day, and make it okay, i miss you, we were made for each other, out here forever, i know we were, yeah, yeah, all i ever wanted was for you to know, everything i do, i give my heart and soul, i can hardly breathe, i need to feel you here with me, yeah, when you're gone, the pieces of my heart are missing you, when you're gone, the face i came to know is missing too, when you're gone, the words i need to hear will always get me through the day, and make it ok, i miss you",1390,when you're gone,avril lavigne,breakup
24,alan jackson,blessed assurance,"blessed assurance, jesus is mine!, o what a foretaste of glory divine!, heir of salvation, purchase of god, born of his spirit, washed in his blood. this is my story, this is my song, praising my savior all the day long;, this is my story, this is my song, praising my savior all the day long. perfect submission, perfect delight, visions of rapture now burst on my sight;, angels descending bring from above, echoes of mercy, whispers of love.",3526,blessed assurance,alan jackson,religion
25,alina baraz,fantasy,"so you say you wanna get away, we don't need a plane, i could be your escape, take you to a place, where there's no time, no space, i could be your private island, on a different planet, anything could happen, listen to the waves, let them wash away your pain, i could be your fantasy, i could be your fantasy, underneath the palm trees, you could leave your worries, listen to the waves, say you wanna get so high?, breathe me in like air tonight, listen to the waves, listen to the waves, i could be your fantasy, so you say you wanna get so high?, breathe me in like air tonight, let yourself unwind, get lost, in the garden of my mind, i could be your private island, underneath the palm trees, you could leave your worries, listen to the waves, let them wash away your pain, i could be your fantasy, i could be your fantasy, underneath the palm trees, you could leave your worries, listen to the waves, say you wanna get so high?, breathe me in like air tonight, listen to the waves, listen to the waves",3389,fantasy,alina baraz,sex
26,alina baraz,make you feel,"listen long, long enough you can love me, i'll be just yours, you can hold me, even let you undress my mind, save it, play it, watch it then press rewind, i can give you what you need, i can give you what you need, i can make you feel, i can make you feel, i can make you feel alright, i can make you feel alright, i can make you feel alright, breathe, breathe me in, taste my words, let me blow your mind, i will take you far, far away, i'll make you feel alright, you've gotta crave it and chase it, until you're close enough to taste it, i can give you what you need, i can give you what you need, i can make you feel, i can make you feel, i can make you feel alright, i can make you feel alright, i can make you feel alright, i can make you feel alright",3348,make you feel,alina baraz,sex
