,name,artist,meaning
72,say my name,destiny's child,love
73,dusk till dawn - radio edit,zayn,love
74,fighting with fire,arrie,love
75,phobias,johnny orlando,love
76,just the way you are,bruno mars,love
77,love is more depressing than depression,prxz,love
78,moral of the story,ashe,love
79,leave a light on,tom walker,love
80,wait for you,tom walker,love
81,waste my time,johnny orlando,love
82,sleep,johnny orlando,love
83,all i want,kodaline,love
84,ily (i love you baby) (feat. emilee),surf mesa,love
85,if i can't have you,shawn mendes,love
86,attack without warning,anna-sophie,love
87,"10,000 hours (with justin bieber)",dan + shay,love
88,can we kiss forever?,kina,love
89,old me,5 seconds of summer,love
90,why,sabrina carpenter,love
91,me and my broken heart,rixton,love
92,thinkin bout you,frank ocean,love
93,chasing cars,snow patrol,love
94,fix you,coldplay,love
95,how to save a life,the fray,love
96,when we were young,adele,love
97,when you love someone,james tw,love
98,don't let me down,conor maynard,love
99,pillowtalk,conor maynard,love
100,make you feel my love,adele,love
101,your song,elton john,love
102,at last - single version,etta james,love
103,beyond,leon bridges,love
104,baby can i hold you,tracy chapman,love
105,a thousand years,various artists,love
106,stand by me,ben e. king,love
107,my love is your love,whitney houston,love
108,halo,beyoncé,love
109,let's stay together,al green,love
110,i try,macy gray,love
111,how long will i love you - bonus track,ellie goulding,love
112,kiss from a rose,seal,love
113,i'll stand by you,pretenders,love
114,my girl,the temptations,love
115,turn me on,norah jones,love
116,wonderful tonight,eric clapton,love
117,out of reach,gabrielle,love
118,"i don't want to miss a thing - from ""armageddon"" soundtrack",various artists,love
119,unchained melody,the righteous brothers,love
120,you are so beautiful,joe cocker,love
121,time after time,cyndi lauper,love
122,say you won't let go,james arthur,love
123,put your records on,corinne bailey rae,love
124,iris,the goo goo dolls,love
125,when you say nothing at all,ronan keating,love
126,it's all coming back to me now - radio version,céline dion,love
127,take my breath away,berlin,love
128,warwick avenue,duffy,love
129,(everything i do) i do it for you,bryan adams,love
130,perfect duet (ed sheeran & beyoncé),ed sheeran,love
131,wherever you will go,the calling,love
132,truly madly deeply,savage garden,love
133,"valerie - live at bbc radio 1 live lounge, london / 2007",amy winehouse,love
134,can't help falling in love,elvis presley,love
135,every breath you take - remastered 2003,the police,love
136,hero,enrique iglesias,love
137,we belong together,mariah carey,love
138,careless whisper,wham!,love
139,because of you,kelly clarkson,love
140,ain't no sunshine,bill withers,love
141,purple rain,prince,love
142,with or without you,u2,love
143,bleeding love,leona lewis,love
144,eternal flame,the bangles,love
145,i want to know what love is - 2008 remaster,foreigner,love
146,when a man loves a woman - 2000 remaster,percy sledge,love
147,no one,alicia keys,love
148,total eclipse of the heart,bonnie tyler,love
149,sexual healing,various artists,love
150,angels - 2004 mix,robbie williams,love
151,"my heart will go on - love theme from ""titanic""",céline dion,love
152,i will always love you,dolly parton,love
153,endless love,various artists,love
154,last request,paolo nutini,love
155,"oh, pretty woman",roy orbison,love
156,i'll be there,various artists,love
157,heaven,bryan adams,love
158,nothing compares 2 u,sinéad o'connor,love
159,it must be love,madness,love
160,somethin' stupid,frank sinatra,love
161,i have nothing,whitney houston,love
162,a thousand miles,vanessa carlton,love
163,never too much,luther vandross,love
164,you make it real,james morrison,love
165,i say a little prayer,aretha franklin,love
166,(sittin' on) the dock of the bay,otis redding,love
167,can you feel the love tonight,various artists,love
168,without you,mariah carey,love
169,killing me softly with his song,roberta flack,love
170,i swear,all-4-one,love
171,be my baby,various artists,love
172,"you're the first, the last, my everything",barry white,love
173,for once in my life,stevie wonder,love
174,you to me are everything,the real thing,love
175,mandy,barry manilow,love
176,just be,paloma faith,love
177,ordinary people,john legend,love
178,she's always a woman,billy joel,love
179,don't dream it's over,crowded house,love
180,"free fallin' - live at the nokia theatre, los angeles, ca - december 2007",john mayer,love
181,lay me down - single version,sam smith,love
182,saving all my love for you,whitney houston,love
183,babylon,david gray,love
184,fast car,tracy chapman,love
185,save tonight,eagle-eye cherry,love
186,true - single edit,spandau ballet,love
187,i'll make love to you,boyz ii men,love
188,take me home,jess glynne,love
189,run,stephen fretwell,love
190,shallow,lady gaga,love
191,back for good - radio mix,take that,love
192,how do i live,leann rimes,love
193,drops of jupiter (tell me),train,love
194,you're still the one,shania twain,love
195,you and me,lifehouse,love
196,i couldn't be more in love,the 1975,love
197,fallingforyou,the 1975,love
198,lovesong (the way) [feat. bluets],charlie burg,love
199,the most beautiful thing,bruno major,love
200,blessed,daniel caesar,love
201,darling,christian leave,love
202,tkm,boy pablo,love
203,japanese denim,daniel caesar,love
204,airplane mode,limbo,love
205,us and the moon,kam michael,love
206,heavenly,cigarettes after sex,love
207,nothing's gonna hurt you baby,cigarettes after sex,love
208,mine,the 1975,love
209,sweet,cigarettes after sex,love
210,come inside of my heart,iv of spades,love
211,atlas: two,sleeping at last,love
212,can i call you tonight?,dayglow,love
213,angel,finneas,love
214,tightrope,zayn,love
215,i would,coin,love
216,love song for no one,john mayer,love
217,people watching,conan gray,love
218,make me your queen,declan mckenna,love
219,meteor shower,cavetown,love
220,cloud 9,beach bunny,love
221,pretty boy,the neighbourhood,love
222,this love,taylor swift,love
223,crushcrushcrush,paramore,love
224,love like you,caleb hyles,love
225,lucky ones,lana del rey,love
226,paper rings,taylor swift,love
227,that way,tate mcrae,love
228,i wanna be yours,arctic monkeys,love
229,"dance, baby!",boy pablo,love
230,hot rod,dayglow,love
231,dontmakemefallinlove,cuco,love
232,falling for the wrong one,dreamer boy,love
233,24 / 7 / 365,surfaces,love
234,scrawny,wallows,love
235,sports,beach bunny,love
236,i don't wanna be okay without you,charlie burg,love
237,captivated,iv of spades,love
238,we find love,daniel caesar,love
239,i <3 u,boy pablo,love
240,i love you so,the walters,love
241,loving is easy,rex orange county,love
242,glad you exist,dan + shay,love
243,the good ones,gabby barrett,love
244,closer to you,carly pearce,love
245,forever after all,luke combs,love
246,made for you,jake owen,love
247,somebody like that,tenille arts,love
248,the bones,maren morris,love
249,take my name,parmalee,love
250,nobody,dylan scott,love
251,everywhere i'm goin',maddie & tae,love
252,"big, big plans",chris lane,love
253,thinking 'bout you (feat. mackenzie porter),dustin lynch,love
254,beautiful crazy,luke combs,love
255,love you like i used to,russell dickerson,love
256,slow dance in a parking lot,jordan davis,love
257,always gonna love you,florida georgia line,love
258,another,adam doleac,love
259,chasin' me,caroline jones,love
260,long haul,ian munsick,love
261,happy anywhere (feat. gwen stefani),blake shelton,love
262,eyes on you,chase rice,love
263,home sweet,russell dickerson,love
264,breathe,faith hill,love
265,waves,luke bryan,love
266,in case you didn't know,brett young,love
267,coulda loved you longer,adam doleac,love
268,speechless,dan + shay,love
269,hell of a view,eric church,love
270,till there's nothing left,cam,love
271,blessed,thomas rhett,love
272,prayed for you,matt stell,love
273,yours,russell dickerson,love
274,world for two,king calaway,love
275,always gonna love you,alana springsteen,love
276,you time,scotty mccreery,love
277,ocean,lady a,love
278,promise to love her,blane howard,love
279,between you & me (feat. ashley cooke),roman alexander,love
280,shallow (the duet with garth brooks and trisha yearwood),trisha yearwood,love
281,you got me,olivia lane,love
282,die a happy man,thomas rhett,love
283,found it in you,tiera,love
284,greatest love story,lanco,love
285,rumor,lee brice,love
286,makin' plans,miranda lambert,love
287,where would i be,lady a,love
288,all i need to see,mitch rossell,love
289,something special,aubrie sellers,love
290,"forever and ever, amen",randy travis,love
291,pushing up daisies (love alive),brothers osborne,love
292,the rest of our life,tim mcgraw,love
293,love is real,morgan evans,love
294,millionaire,chris stapleton,love
295,got what i got,jason aldean,love
296,parallel line,keith urban,love
297,the difference,tyler rich,love
298,ran into you,mitch rossell,love
299,diamonds or twine,ryan hurd,love
300,steady heart,kameron marlowe,love
301,would you go with me,josh turner,love
302,you make it easy,jason aldean,love
303,butterflies,kacey musgraves,love
304,my girl,dylan scott,love
305,tennessee whiskey,chris stapleton,love
306,"1, 2, 3 mississippi",brett young,love
307,this is it,scotty mccreery,love
308,she's in love with the boy - single version,trisha yearwood,love
309,i think i love you,ernest,love
310,heaven,kane brown,love
311,then,brad paisley,love
312,"love, me",collin raye,love
313,body on fire,maggie rose,love
314,best shot,jimmie allen,love
315,i don't dance,lee brice,love
316,back to life,rascal flatts,love
317,your man,josh turner,love
318,what ifs (feat. lauren alaina),kane brown,love
319,i hate love songs,kelsea ballerini,love
320,this kiss,faith hill,love
321,slow down,alana springsteen,love
322,make me want to,jimmie allen,love
323,you had me from hello,kenny chesney,love
324,unforgettable,thomas rhett,love
325,carrying your love with me,george strait,love
326,my boo,usher,love
327,if i ain't got you,alicia keys,love
328,miss independent,ne-yo,love
329,always on time,ja rule,love
330,touch my body,mariah carey,love
331,what's luv? (feat. ja-rule & ashanti),fat joe,love
332,21 questions,50 cent,love
333,no air (feat. chris brown),jordin sparks,love
334,always be my baby,mariah carey,love
335,stickwitu,the pussycat dolls,love
336,me & u,cassie,love
337,don't matter,akon,love
338,beautiful girls,sean kingston,love
339,just a dream,nelly,love
340,whatever you like,t.i.,love
341,mesmerize,ja rule,love
342,neighbors know my name,trey songz,love
343,suga suga,baby bash,love
344,"i need a girl (pt. 2) [feat. loon, ginuwine & mario winans]",various artists,love
345,let me hold you (feat. omarion),bow wow,love
346,mrs. officer,lil wayne,love
347,you can get it all (feat. johntá austin) - album crossfade version,bow wow,love
348,shawty is da shit,the-dream,love
349,i'm n luv (wit a stripper) (feat. mike jones),t-pain,love
350,rockin' that shit,the-dream,love
351,i luv your girl,the-dream,love
352,sure thing,miguel,love
353,all i want is you (feat. j. cole),miguel,love
354,get you (feat. kali uchis),daniel caesar,love
355,see you again (feat. kali uchis),"tyler, the creator",love
356,best part (feat. daniel caesar),h.e.r.,love
357,hypnotized (feat. akon),plies,love
358,next to you,mike jones,love
359,candy shop,50 cent,love
360,kiss me thru the phone,soulja boy,love
361,like you (feat. ciara),bow wow,love
362,you,lloyd,love
363,kiss kiss (feat. t-pain),chris brown,love
364,best i ever had,drake,love
365,find your love,drake,love
366,love,keyshia cole,love
367,lost without u,robin thicke,love
368,when i see u,fantasia,love
369,so into you,tamia,love
370,lotus flower bomb (feat. miguel),wale,love
371,i choose you,mario,love
372,planez,jeremih,love
373,oui,jeremih,love
374,kevin’s heart,j. cole,love
375,needed me,rihanna,love
376,into you,ariana grande,love
377,exchange,bryson tiller,love
378,the way (feat. chance the rapper),kehlani,love
379,losin control,russ,love
380,"psycho, pt. 2",russ,love
381,ain't nobody takin my baby,russ,love
382,location,khalid,love
383,love. feat. zacari.,kendrick lamar,love
384,saved,khalid,love
385,juke jam (feat. justin bieber & towkio),chance the rapper,love
386,redbone,childish gambino,love
387,let's go,khalid,love
388,ride slow,russ,love
389,selfish,pnb rock,love
390,you & me,marc e. bassy,love
391,down for you (feat. bj the chicago kid),kehlani,love
392,you should be here,kehlani,love
393,love on top,beyoncé,love
394,clumsy,fergie,love
395,me & you,lafayette,love
396,nothin' on you (feat. bruno mars),b.o.b,love
397,a thousand years,christina perri,love
398,i won't give up,jason mraz,love
399,kiss me,ed sheeran,love
400,stay with me,sam smith,love
401,my boo - hitman's club mix,ghost town djs,love
402,love you down,inoj,love
403,all i want,inoj,love
404,right thru me,nicki minaj,love
405,your love,nicki minaj,love
406,im sprung,rasheeda,love
407,dreaming of you,selena,love
408,i could fall in love,selena,love
409,amor prohibido,selena,love
410,shawty is a 10 (103.5 bomb remix mix),smigg dirtee,love
411,soulja girl,soulja boy,love
412,i like the way you love me,brenton wood,love
413,yes. i'm ready,barbara mason,love
414,la-la means i love you,the delfonics,love
415,i'm your puppet,james & bobby purify,love
416,love...can be so wonderful,the temprees,love
417,"baby, i'm for real",the originals,love
418,love will keep us alive,eagles,love
419,thank you for loving me,bon jovi,love
420,when i see you smile,bad english,love
421,i live my life for you,firehouse,love
422,more than words,extreme,love
423,glory of love,peter cetera,love
424,straight from the heart,bryan adams,love
425,have i told you lately - 2008 remaster,rod stewart,love
426,i'll be over you,toto,love
427,when love and hate collide,def leppard,love
428,you're the inspiration - 2006 remaster,chicago,love
429,the search is over,survivor,love
430,"it must have been love - from the film ""pretty woman""",roxette,love
431,open arms,journey,love
432,i'll be there for you,bon jovi,love
433,please forgive me,bryan adams,love
434,sometimes when we touch,rod stewart,love
435,sometimes love just ain't enough,patty smyth,love
436,when i look into your eyes,firehouse,love
437,two steps behind - string / acoustic version,def leppard,love
438,vulnerable,roxette,love
439,you're all i need,white lion,love
440,missing you,john waite,love
441,"all for love - from ""the three musketeers""",bryan adams,love
442,in my dreams,reo speedwagon,love
443,love of a lifetime,firehouse,love
444,(i wanna take) forever tonight,peter cetera,love
445,i don't want to live without you,foreigner,love
446,always,bon jovi,love
447,amanda,boston,love
448,babe,styx,love
449,can't fight this feeling,reo speedwagon,love
450,when you love a woman,journey,love
451,do i have to say the words?,bryan adams,love
452,more than words can say,alias,love
453,alone,heart,love
454,will you still love me? - 2003 remaster,chicago,love
455,never say goodbye,bon jovi,love
456,for the first time,rod stewart,love
457,"have you ever really loved a woman? - from ""don juan demarco""",bryan adams,love
458,foolish heart,steve perry,love
459,honestly,harem scarem,love
460,for your love - 2015 remaster,the yardbirds,love
461,ain't no reason why,tattoo rodeo,love
462,lonely beat of my heart,various artists,love
463,love games,pretty maids,love
464,what a time (feat. niall horan),julia michaels,love
465,falling,harry styles,love
466,i guess i'm in love,clinton kane,love
467,butterflies,james tw,love
468,ghost,justin bieber,love
469,rewrite the stars (with james arthur & anne-marie),james arthur,love
470,lose you to love me,selena gomez,love
471,first times,ed sheeran,love
472,like no one does,jake scott,love
473,slow dance (feat. ava max),aj mitchell,love
474,you & me,james tw,love
475,holy (feat. chance the rapper),justin bieber,love
476,i don't want to watch the world end with someone else,clinton kane,love
477,fallin' all in you,shawn mendes,love
478,lie to me,5 seconds of summer,love
479,losing me,gabrielle aplin,love
480,imagine,ben platt,love
481,i should probably go to bed,dan + shay,love
482,"hey stupid, i love you",jp saxe,love
483,if i didn't have you,banners,love
484,lovely,fly by midnight,love
485,what love is,tom gregory,love
486,nobody else,lany,love
487,easy,camila cabello,love
488,nobody's love,maroon 5,love
489,pov,ariana grande,love
490,slow,shy martin,love
491,"fire on fire - from ""watership down""",sam smith,love
492,head & heart (feat. mnek) - acoustic,joel corry,love
493,loved you once,clara mae,love
494,fall so hard,christopher,love
495,turn back time,daniel schulz,love
496,best part of me (feat. yebba),ed sheeran,love
497,"never seen anything ""quite like you"" - acoustic",the script,love
498,17,julia michaels,love
499,i am falling in love,isak danielson,love
500,no judgement,niall horan,love
501,golden thing,cody simpson,love
502,peer pressure (feat. julia michaels),james bay,love
503,don't ever leave,dan talevski,love
504,better,zayn,love
505,6 months,john k,love
506,i want it all,the script,love
507,soul mate,flora cash,love
508,shivers,haris,love
509,the way i love you,yaeow,love
510,anywhere with you (feat. andie nora),wallaby,love
511,positions,ariana grande,love
512,secret love song (feat. jason derulo),little mix,love
513,say something,kodaline,love
514,i can't wait,micky skeel,love
515,best years,5 seconds of summer,love
516,girlfriend,charlie puth,love
517,be alright,dean lewis,love
518,there you are,zayn,love
519,let's fall in love for the night,finneas,love
520,fake a smile,alan walker,love
521,naked,james arthur,love
522,you are the reason - duet version,calum scott,love
523,big plans,why don't we,love
524,good years,zayn,love
525,feels like,gracie abrams,love
526,renee's song,bazzi,love
527,july (feat. leon bridges),noah cyrus,love
528,the story never ends,lauv,love
529,can i be him - acoustic live version,james arthur,love
530,before i lose my mind - stripped,etham,love
531,i can't fall in love without you,zara larsson,love
532,let it be me,justin jesso,love
533,take care of you,ella henderson,love
534,us,clara mae,love
535,favourite ex,maisie peters,love
536,too good at goodbyes,sam smith,love
537,say love,james tw,love
538,like i'm gonna lose you (feat. john legend),various artists,love
539,ruin my life,zara larsson,love
540,over and over again,nathan sykes,love
541,lucky,chelsea cutler,love
542,this love,camila cabello,love
543,there's no way (feat. julia michaels),lauv,love
544,3 small words,misterwives,love
545,suitcase,james tw,love
546,how do you sleep?,sam smith,love
547,my heart,christopher,love
548,miss you 2,gabrielle aplin,love
549,mine mine mine,andreas moe,love
550,against all odds (take a look at me now),phil collins,love
551,endless love,lionel richie,love
552,one moment in time,whitney houston,love
553,right here waiting,richard marx,love
554,"because you loved me (theme from ""up close and personal"")",céline dion,love
555,a groovy kind of love,phil collins,love
556,don't know much (with aaron neville),linda ronstadt,love
557,up where we belong,joe cocker,love
558,i just can't stop loving you (feat. siedah garrett) - 2012 remaster,michael jackson,love
559,have i told you lately?,van morrison,love
560,i'll be there,mariah carey,love
561,"can you feel the love tonight - end title/ from ""the lion king""/soundtrack version",various artists,love
562,the power of love,céline dion,love
563,there you'll be,faith hill,love
564,if tomorrow never comes,ronan keating,love
565,the lady in red,chris de burgh,love
566,i will always love you,whitney houston,love
567,the rose,bette midler,love
568,true colors,cyndi lauper,love
569,now and forever,richard marx,love
570,"love is all around - from ""four weddings and a funeral""",wet wet wet,love
571,hero,mariah carey,love
572,fields of gold,sting,love
573,greatest love of all,whitney houston,love
574,just the way you are,billy joel,love
575,save the best for last,various artists,love
576,she's the one,robbie williams,love
577,if you don't know me by now - 2008 remaster,simply red,love
578,hungry eyes,various artists,love
579,how am i supposed to live without you,michael bolton,love
580,"show me heaven - from ""days of thunder"" soundtrack",various artists,love
581,"have you ever really loved a woman? - from ""don juan demarco"" soundtrack",bryan adams,love
582,you're beautiful,james blunt,love
583,i knew i loved you,savage garden,love
584,i want to know what love is - 1999 remaster,foreigner,love
585,listen to your heart,roxette,love
586,said i loved you...but i lied,michael bolton,love
587,tonight i celebrate my love,peabo bryson,love
588,"(i've had) the time of my life - from ""dirty dancing"" soundtrack",various artists,love
589,everything,michael bublé,love
590,sacrifice,elton john,love
591,amazed,lonestar,love
592,fallen,lauren wood,love
593,nothing's gonna change my love for you,george benson,love
594,when a man loves a woman,michael bolton,love
595,bed of roses,bon jovi,love
596,with or without you - remastered,u2,love
597,this i promise you,*nsync,love
598,you are the sunshine of my life,stevie wonder,love
599,hello,lionel richie,love
600,you're the inspiration,various artists,love
601,i'll never love this way again,various artists,love
602,every breath you take,sting,love
603,"say you, say me",lionel richie,love
604,how deep is your love (2007 remastered saturday night fever lp version),bee gees,love
605,to be with you,mr. big,love
606,shape of my heart,backstreet boys,love
607,woman in love,barbra streisand,love
608,(i can't help) falling in love with you,ub40,love
609,sailing,christopher cross,love
610,if you're not the one,various artists,love
611,i just called to say i love you - single version,stevie wonder,love
612,a moment like this,kelly clarkson,love
613,2 become 1,spice girls,love
614,kiss me,various artists,love
615,bags,clairo,love
616,apocalypse,cigarettes after sex,love
617,lonely shade of blue,nick leng,love
618,beautiful baby,elizabeth,love
619,sparks,coldplay,love
620,we fell in love in october,girl in red,love
621,heartbeats,josé gonzález,love
622,tobacco sunburst,the neighbourhood,love
623,i always wanna die (sometimes),the 1975,love
624,i must be in love,aaron taos,love
625,love song,lana del rey,love
626,dialing drunk,ethan gruska,love
627,blood bank,bon iver,love
628,my kind of woman,mac demarco,love
629,bitter sweet symphony,the verve,love
630,mystery of love (from the original motion picture “call me by your name”),sufjan stevens,love
631,new love cassette,angel olsen,love
632,norman fucking rockwell,lana del rey,love
633,dreams - 2004 remaster,fleetwood mac,love
634,yellow,coldplay,love
635,train song,various artists,love
636,honey,sorcha richardson,love
637,cosmic love,florence + the machine,love
638,k.,cigarettes after sex,love
639,hesitate,golden vessel,love
640,door,caroline polachek,love
641,9,willow,love
642,i love you,billie eilish,love
643,lover's spit,broken social scene,love
644,baby's arms,kurt vile,love
645,the girl,city and colour,love
646,passenger seat,death cab for cutie,love
647,"flightless bird, american mouth",iron & wine,love
648,the past and pending,the shins,love
649,green eyes,coldplay,love
650,the moon song - studio version duet,various artists,love
651,"archie, marry me",alvvays,love
652,we stayed up all night,tourist,love
653,video games,lana del rey,love
654,i ain't ever loved no one - acoustic,donovan woods,love
655,1995,the radio dept.,love
656,i know places,lykke li,love
657,true love,hovvdy,love
658,ugly,deb never,love
659,on your porch,the format,love
660,to be alone with you,sufjan stevens,love
661,anyone else but you,the moldy peaches,love
662,fade into you,mazzy star,love
663,youth,daughter,love
664,nude,radiohead,love
665,cruel world,active child,love
666,moon river,frank ocean,love
667,re: stacks,bon iver,love
668,say yes,elliott smith,love
669,sea of love,cat power,love
670,are you even real?,james blake,love
671,lua,bright eyes,love
672,say it first,sam smith,love
673,sweet - single version,cigarettes after sex,love
674,life in the vivid dream,grimes,love
675,four walls,broods,love
676,branscombe,wovoka gentle,love
677,your ex-lover is dead,stars,love
678,first day of my life,bright eyes,love
679,real love,beach house,love
680,i will follow you into the dark,death cab for cutie,love
681,just kids,powers,love
682,eyes,rogue wave,love
683,our way to fall,yo la tengo,love
684,oh my love - remastered 2010,john lennon,love
685,there is a light that never goes out - 2011 remaster,the smiths,love
686,swallowed in the sea,coldplay,love
687,baby luv,nilüfer yanya,love
688,every breath you take,the police,love
689,just the two of us (feat. bill withers),"grover washington, jr.",love
690,woman - remastered 2010,john lennon,love
691,lover's moon,glenn frey,love
692,every time you go away - radio edit,paul young,love
693,making love out of nothing at all,air supply,love
694,wind beneath my wings,bette midler,love
695,"hungry eyes - from ""dirty dancing"" soundtrack",eric carmen,love
696,love changes (everything),climie fisher,love
697,bette davis eyes,kim carnes,love
698,hard to say i'm sorry - 2007 remaster,chicago,love
699,(i just) died in your arms,cutting crew,love
700,all out of love,air supply,love
701,drive - 2017 remaster,the cars,love
702,crazy for you,madonna,love
703,stuck on you,lionel richie,love
704,lost in your eyes,debbie gibson,love
705,i just called to say i love you,stevie wonder,love
706,nothing's gonna stop us now,starship,love
707,against all odds (take a look at me now) - 2016 remaster,phil collins,love
708,"take my breath away - love theme from ""top gun""",various artists,love
709,do you remember? - 2016 remaster,phil collins,love
710,waiting for a girl like you,foreigner,love
711,endless love - endless love/soundtrack version,lionel richie,love
712,even the nights are better,air supply,love
713,we've got tonight,kenny rogers,love
714,i'll be loving you (forever),new kids on the block,love
715,take on me,a-ha,love
716,arthur's theme (best that you can do),various artists,love
717,"up where we belong - from ""an officer and a gentleman""",joe cocker,love
718,one more night - 2016 remaster,phil collins,love
719,what's love got to do with it,tina turner,love
720,everything i own,bread,love
721,when i need you,leo sayer,love
722,do that to me one more time,captain & tennille,love
723,if,bread,love
724,just when i needed you most,randy vanwarmer,love
725,you've got a friend,james taylor,love
726,longer,dan fogelberg,love
727,if you leave me now,chicago,love
728,you've got a friend,carole king,love
729,annie's song,john denver,love
730,how deep is your love,bee gees,love
731,sometimes when we touch,dan hill,love
732,laughter in the rain,various artists,love
733,we're all alone,rita coolidge,love
734,the way we were,barbra streisand,love
735,i'd really love to see you tonight,england dan & john ford coley,love
736,you light up my life,debby boone,love
737,yesterday once more,carpenters,love
738,without you - remastered,harry nilsson,love
739,my eyes adored you,frankie valli,love
740,three times a lady,commodores,love
741,lost without your love,bread,love
742,"evergreen (love theme from, ""a star is born"")",barbra streisand,love
743,i'd love you to want me,lobo,love
744,(they long to be) close to you,carpenters,love
745,after the love has gone,"earth, wind & fire",love
746,goodbye girl,david gates,love
747,the most beautiful girl,charlie rich,love
748,don't it make my brown eyes blue,crystal gayle,love
749,i honestly love you,olivia newton-john,love
750,i'll never love this way again,dionne warwick,love
751,all by myself,eric carmen,love
752,always on my mind,elvis presley,love
753,the best of my love - 2013 remaster,eagles,love
754,you make me feel brand new,the stylistics,love
755,bridge over troubled water,simon & garfunkel,love
756,don't give up on us,david soul,love
757,torn between two lovers,various artists,love
758,blue bayou,linda ronstadt,love
759,easy,commodores,love
760,best thing that ever happened to me,gladys knight & the pips,love
761,because you loved me,céline dion,love
762,back at one,brian mcknight,love
763,sometimes,britney spears,love
764,(god must have spent) a little more time on you - remix,*nsync,love
765,i can love you like that,all-4-one,love
766,how could an angel break my heart,toni braxton,love
767,endless love (with mariah carey),luther vandross,love
768,one sweet day,mariah carey,love
769,i'll never break your heart,backstreet boys,love
770,i'll be - acoustic version,edwin mccain,love
771,end of the road,boyz ii men,love
772,for you i will,various artists,love
773,that's the way it is,céline dion,love
774,all for love,rod stewart,love
775,when you believe - from the prince of egypt,whitney houston,love
776,always and forever,luther vandross,love
777,angel of mine,monica,love
778,un-break my heart,toni braxton,love
779,i can't make you love me,bonnie raitt,love
780,rush rush,paula abdul,love
781,kiss me,sixpence none the richer,love
782,i want it that way,backstreet boys,love
783,i wanna love you forever,jessica simpson,love
784,i do (cherish you),98º,love
785,torn,natalie imbruglia,love
786,quit playing games (with my heart),backstreet boys,love
787,save the best for last,vanessa williams,love
788,the hardest thing,98º,love
789,stay,lisa loeb,love
790,the song remembers when,trisha yearwood,love
791,the power of love - radio edit,céline dion,love
792,loose,daniel caesar,love
793,like i want you,giveon,love
794,slow down,mac ayres,love
795,meet me in amsterdam,rini,love
796,girls need love,summer walker,love
797,cyanide,daniel caesar,love
798,godspeed,frank ocean,love
799,girl with the tattoo enter.lewd,miguel,love
800,stan,6lack,love
801,oceane (feat. olivia escuyos),rini,love
802,cpr,summer walker,love
803,lullaby,umi,love
804,deep,summer walker,love
805,honesty,pink sweat$,love
806,easily,bruno major,love
807,hold me down,daniel caesar,love
808,jaded,drake,love
809,belong to you (feat. 6lack),sabrina claudio,love
810,frozen,sabrina claudio,love
811,over and over,sky,love
812,stuck on you,giveon,love
813,around me,brent faiyaz,love
814,right my wrongs,bryson tiller,love
815,love you too much,lucky daye,love
816,sativa,jhené aiko,love
817,what dreams are made of,evann mcintosh,love
818,poison,brent faiyaz,love
819,heartbreak anniversary,giveon,love
820,dance with me,john alex,love
821,violet,daniel caesar,love
822,get to you again,mac ayres,love
823,mutual butterflies,ryan trey,love
824,otw,khalid,love
825,"yo love - from ""queen & slim: the soundtrack""",vince staples,love
