,ARTIST_NAME,SONG_NAME,LYRICS,meaning
14,john legend,all of me,What would I do without your smart mouth Drawin me in and you kickin me out You ve got my head spinnin no kiddin I can t pin you down What s goin on in that beautiful mind I m on your magical mystery ride And I m so dizzy don t know what hit me But I ll be alright My head s under water but I m breathing fine You re crazy and I m out of my mind Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me I ll give my all to you You re my end and my beginnin Even when I lose I m winnin Cause I give you all of me And you give me all of you oh oh,love
15,jena rose,checkmate,I m tired of the games you re playing And I see all the moves you make Checkmate You re in checkmate darling You loved me in the worst way I should ve never let it slide I was blind from the first date Guess I never saw the signs Didn t call me on my birthday Said okay I ll be fine Okay I ll be fine And when you wake up by yourself please tell me Who s gonna love you when I don t I m tired of the gamеs you re playing And I see all the moves you makе It s too late No you can t say sorry And after all the time you wasted There s really nothing left to say Checkmate You re in checkmate darling,love
16,justin bieber,hold on,You know you can call me if you need someone I ll pick up the pieces if you come undone Painting stars up on your ceiling Cause you wish that you could find some feeling yeah you You know you can call me if you need someone I need you to hold on Heaven is a place not too far away We all know I should be the one To say we all make mistakes Take my hand and hold on Tell me everything that you need to say Cause I know how it feels to be someone Feels to be someone who loses their way You re looking for answers in a place unknown You need the connection but you can t get close Painting stars up on your ceiling Cause you wish that you could find some feeling yeah you You know you can call me if you need someone,love
17,neon trees,everybody talks,Ah ah ah ah Ahem ahem Hey baby won t you look my way I can be your new addiction Hey baby what you got to say All you re giving me is fiction I m a sorry sucker and this happens all the time I find out that everybody talks Everybody talks everybody talks It started with a whisper And that was when I kissed her And then she made my lips hurt I can hear the chit chat Take me to your love shack Mama s always gotta backtrack When everybody talks back Hey honey you could be my drug You could be my new prescription Too much could be an overdose All this trash talk make me itchin,love
18,bazzi,mine,Huh yeah naw I just had a lil bit too much of Hennessy Just gotta tell you how I feel look You so fuckin precious when you smile Hit it from the back and drive you wild Girl I lose myself up in those eye eye eye eye eyes I just had to let you know you re mine Hands on your body I don t wanna waste no time Feels like forever even if forever s tonight Just lay with me waste this night away with me You re mine I can t look away I just gotta say I m so fucking happy you re alive Swear to God I m down if you re down all you gotta say is Right Girl anything I can do just to make you feel alright Oh oh oh oh I just had to let you know you re fine Running circles round my mind Even when it s rainy all you ever do is shine You on fire you a star just like Mariah Man this feel incredible I ll turn you into a bride You re mine,love
19,skylar stecker,you,Oh oh woah Listen I ma sit you down you gonna listen Say what s on my mind without you flippin out Am I too nice Push it aside no no Cause I do it for you Can you do it for me With the pieces all here Why you choose what you see I do it for you Can you do it for me Gotta know it s not fair baby Cause you be you be up beside me Not like I ma fly away Butterfly s inside me ooh Giving my all giving my all to you And lately I m thinkin ooh Maybe the problem is you Tell me what s the motive Dancing round the things I say Rollin through the motions with you Giving my all giving my all to you And lately I m thinkin ooh Maybe the problem is you,love
20,ed sheeran,happier,Walking down 29th and park I saw you in another s arm Only a month we ve been apart You look happier Saw you walk inside a bar He said something to make you laugh I saw that both your smiles were twice as wide as ours Yeah you look happier you do Ain t nobody hurt you like I hurt you But ain t nobody love you like I do Promise that I will not take it personal baby If you re moving on with someone new Cause baby you look happier you do My friends told me one day I ll feel it too And until then I ll smile to hide the truth But I know I was happier with you Sat in the corner of the room Everything s reminding me of you Nursing an empty bottle and telling myself You re happier aren t you,love
21,joji,slow dancing in the dark,I don t want a friend I want my life in two Please one more night Waiting to get there Waiting for you Just one more night I m done fighting all night When I m around slow dancing in the dark Don t follow me you ll end up in my arms You done made up your mind I don t need no more signs Can you Can you Give me reasons we should be complete You should be with him I can t compete You looked at me like I was someone else oh well Can t you see I don t wanna slow dance In the dark dark When you gotta run Just hear my voice in you Shutting me out you Doing so great You,love
22,kina,get you the moon,You gave me a shoulder when I needed it You showed me love when I wasn t feeling it You helped me fight when I was giving in And you made me laugh when I was losing it Cause you are you are The reason why I m still hanging on Cause you are you are The reason why my head is still above water And if I could I d get you the moon And give it to you And if death was coming for you I d give my life for you Cause you are you are The reason why I m still hanging on Cause you are you are The reason why my head is still above water And if I could I d get you the moon And give it to you And if death was coming for you I d give my life for you,love
23,ed sheeran,thinking out loud,When your legs don t work like they used to before And I can t sweep you off of your feet Will your mouth still remember the taste of my love Will your eyes still smile from your cheeks And darling I will be loving you till we re seventy And baby my heart could still fall as hard at twenty three And I m thinking bout how People fall in love in mysterious ways Maybe just the touch of a hand Well me I fall in love with you every single day I just wanna tell you I am So honey now take me into your loving arms Kiss me under the light of a thousand stars Place your head on my beating heart I m thinking out loud And maybe we found love right where we are When my hair s all but gone and my memory fades And the crowds don t remember my name When my hands don t play the strings the same way I know you will still love me the same Cause honey your soul could never grow old it s evergreen And baby your smile s forever in my mind and memory And I m thinking bout how,love
24,tate mcrae,one day,She stares at her ceiling once again with a hundred thoughts Maybe he knows who I am probably not She walks down the hall with her head down low scared to meet his eyes Even when she hears his voice she s swarmed with butterflies It s impossible to get you off my mind I think about a hundred thoughts and you are ninety nine I ve understood that you will never be mine And that s fine I m just breaking inside He always walks the crowded halls and is blinded by this light A girl who keeps her head down low and never shows her eyes He s tried to talk to her but there s no easy way Cause every time he raises his voice she runs away Oh it s impossible to get you off my mind I think about a hundred thoughts and you are ninety nine I ve understood that you will never be mine And that s fine I m just breaking inside One day maybe she ll stay And start to head over his way And one day she ll look into his eyes And instead of breaking she ll call him mine One day he ll grab her by the waist And force them to meet face to face One day he ll look into her eyes And say that You re my only light,love
25,justin bieber,anyone,Dance with me under the diamonds See me like breath in the cold Sleep with me here in the silence Come kiss me silver and gold You say that I won t lose you but you can t predict the future So just hold on like you will never let go Yeah if you ever move on without me I need to make sure you know that You are the only one I ll ever love Yeah you if it s not you it s not anyone Lookin back on my life you re the only good I ve ever done Yeah you if it s not you it s not anyone not anyone Forever s not enough time to Love you the way that I want Cause every mornin I ll find you I fear the day that I don t You say that I won t lose you but you can t predict the future Cause certain things are out of our control Yeah if you ever move on without me I need to make sure you know that,love
26,olivia rodrigo,good 4 u,Well good for you I guess you moved on really easily You found a new girl and it only took a couple weeks Remember when you said that you wanted to give me the world And good for you I guess that you ve been workin on yourself I guess that therapist I found for you she really helped Now you can be a better man for your brand new girl Well good for you You look happy and healthy not me If you ever cared to ask Good for you You re doin great out there without me baby God I wish that I could do that I ve lost my mind I ve spent the night Cryin on the floor of my bathroom But you re so unaffected I really don t get it But I guess good for you Well good for you I guess you re gettin everything you want You bought a new car and your career s really takin off It s like we never even happened Baby what the fuck is up with that And good for you it s like you never even met me Remember when you swore to God I was the only Person who ever got you Well screw that and screw you You will never have to hurt the way you know that I do,love
27,khalid,saturday nights,Saturday nights blueberry cigarillos Swishers make my throat hurt Rolling O C B s on the side for me Light em up and let em both burn Family feuds say your mom s confused Off of shit she doesn t wanna learn But daddy s gone say he s never home And wishing only makes it worse I guess there s certain dreams that you gotta keep Cause they ll only know what you let em see All the things that I know That your parents don t They don t care like I do Nowhere like I do And all the things that I know That your parents don t They don t care like I do Nowhere like I do Nowhere like I do Nowhere like I do,love
28,ed sheeran,photograph,Loving can hurt loving can hurt sometimes But it s the only thing that I know When it gets hard you know it can get hard sometimes It is the only thing that makes us feel alive We keep this love in a photograph We made these memories for ourselves Where our eyes are never closing Hearts are never broken And time s forever frozen still So you can keep me Inside the pocket of your ripped jeans Holding me closer til our eyes meet You won t ever be alone wait for me to come home Loving can heal loving can mend your soul And it s the only thing that I know know I swear it will get easier remember that with every piece of ya And it s the only thing we take with us when we die We keep this love in a photograph We made these memories for ourselves Where our eyes are never closing Hearts were never broken And time s forever frozen still,love
29,lewis capaldi,someone you loved,I m going under and this time I fear there s no one to save me This all or nothing really got a way of driving me crazy I need somebody to hear somebody to know Somebody to have somebody to hold It s easy to say but it s never the same I guess I kinda liked the way you numbed all the pain Now the day bleeds into nightfall And you re not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved I m going under and this time I fear there s no one to turn to This all or nothing way of loving got me sleeping without you Now I need somebody to know somebody to hear Somebody to have just to know how it feels It s easy to say but it s never the same I guess I kinda like the way you help me escape Now the day bleeds into nightfall And you re not here to get me through it all I let my guard down and then you pulled the rug I was getting kinda used to being someone you loved,love
30,james bay,let it go,From walking home and talking loads To seeing shows in evening clothes with you From nervous touch and getting drunk To staying up and waking up with you Now we re slipping near the edge Holding something we don t need All this delusion in our heads Is gonna bring us to our knees So come on let it go just let it be Why don t you be you and I ll be me Everything that s broke leave it to the breeze Why don t you be you and I ll be me And I ll be me From throwing clothes across the floor To teeth and claws and slamming doors at you If this is all we re living for Why are we doing it doing it doing it anymore I used to recognize myself It s funny how reflections change When we re becoming something else I think it s time to walk away,love
31,ruel,real thing,I m so sick of thinking staying up at night I don t wanna play around that ain t on my mind When I think about her face these problems don t exist But if I m being honest with you I m tired of that fantasy I m tired of the daydream Tired of just waiting for sleep to see you I know it s imaginary but I think my mind is ready Need to leave this sanctuary for something true I just want the real thing I just want the real thing I want all the fights you know I want all the tears I want all the conversations tell me all your fears Cause I know that it s hard for you to trust No one s ever given you enough I might need to stop and give it up Tired of that fantasy I m tired of the daydream Tired of just waiting for sleep to see you I know it s imaginary but I think my mind is ready Need to leave this sanctuary for something true,love
32,harry styles,adore you,Walk in your rainbow paradise Strawberry lipstick state of mind I get so lost inside your eyes Would you believe it You don t have to say you love me You don t have to say nothing You don t have to say you re mine Honey I d walk through fire for you Just let me adore you Oh honey I d walk through fire for you Just let me adore you Like it s the only thing I ll ever do Like it s the only thing I ll ever do You re wonder under summer sky Brown skin and lemon over ice Would you believe it,love
33,ruel,painkiller,You re my painkiller When my brain gets bitter You keep me close You keep me close I got front row seats for the parkside livin Feel like the one but I m one in a billion Teenage cynical and I don t really know What s the point of livin if my heart gets broken Drivin on the road waiting for head on collision Springtime funeral I miss you but I d rather be alone To keep me from Heartbreaks headaches The doctor says I m diagnosed with Shit days mistakes But I ll be fine But I ll be fine Cause you re my painkiller When my brain gets bitter You keep me close When I ve been miserable And it takes forever To let my brain get better You keep me close You keep me close,love
34,alec benjamin,let me down slowly,This night is cold in the kingdom I can feel you fade away From the kitchen to the bathroom sink and Your steps keep me awake Don t cut me down throw me out leave me here to waste I once was a man with dignity and grace Now I m slipping through the cracks of your cold embrace So please please Could you find a way to let me down slowly A little sympathy I hope you can show me If you wanna go then I ll be so lonely If you re leaving baby let me down slowly Let me down down Let me down down Let me down let me down Down let me down down Let me down If you wanna go then I ll be so lonely If you re leaving baby let me down slowly Cold skin drag my feet on the tile As I m walking down the corridor And I know we haven t talked in a while So I m looking for an open door,love
35,tate mcrae,teenage mind,Some girls get all done up lose their face to repair They attend every party but it s taking them nowhere Some think it s funny say they don t even care But on the inside they wish they were there What have we come to now We all wanna be like the rest Can t describe just how But we re all a beautiful mess One moment we re broken and then we re fine He called you back Wait wasn t he mine One moment we re broken and then we re fine Lost in the puzzle of the teenage mind Some boys make the trouble and think they re all it Constantly in company or thrown to the ditch And some are just there to have a good time Ignoring every bit of drama and each little lie Yeah what have we come to now We all wanna be like the rest Can t describe just how But we re all a beautiful mess,love
36,jeremy zucker,talk is overrated,I don t wanna smoke I don t need a drink Just tell me how you feel tell me what you think Cause I ve been on my own for a fuckin while And I don t need a girl I just wanna smile Gettin my mind right I ll wait til the time s right I m meanin to tell you Why it s hard to sleep at night There s nothin to fear now Girl we should be here now So why don t you hear me out I m saying Talk is overrated let s just vibe And love is overrated in my mind Girl talk is overrated let s just vibe Just for tonight I ll be yours if you want me to I ll be yours if you want me to I ve been hella stressed I would rather chill I know you looked at me wonder how I deal But look inside my soul I don t mean to front Cause really I don t know what the fuck I want I remember when we were more than friends I would just pretend that was cold After all this shit I could not let you in Summer went saved up all the money That I would have spent On you girl,love
37,ant saunders,yellow hearts,She put my name with yellow hearts Her favorite color like the stars I didn t listen very hard When she told me she was crazy from the start She put my name with yellow hearts I said she was a work of art I didn t listen very hard When she told me she was crazy from the start I drive down open roads so slow Here comes a train I ll let it go Ain t got nobody on my phone Don t like being all alone Not good at keeping with the trends Too good at welcoming amends It s been a while since I ve heard her say That we were more than friends Oh I I I I know a lot is going on But girl please tell me And I ll let you be Are you still with me or not She put my name with yellow hearts Her favorite color like the stars I didn t listen very hard When she told me she was crazy from the start She put my name with yellow hearts I said she was a work of art I didn t listen very hard When she told me she was crazy from the start,love
38,brockhampton,sugar,Spendin all my nights alone waitin for you to call me You re the only one I want by my side when I fall asleep Tell me what I m waitin for tell me what I m waitin for I know it s hard but we need each other Know it s hard but we need each other I move mountains on my own don t need nobody help Changed your mind when I changed my life better start believin in myself And we all out lookin for lookin for God so we never see it in ourself Shit divine intervention move in stealth It s hard to tell what the prayer compelled You can find me dancin in between the raindrops Tryna find a way to make the pain stop Overtime on the graveyard Got a nigga feeling brainwashed My instability s trademark Copy written in all my decisions This is not supposed to be a way of livin Turned my temple down into a prison shit Spendin all my nights alone waitin for you to call me You re the only one I want by my side when I fall asleep Tell me what I m waitin for tell me what I m waitin for I know it s hard but we need each other Know it s hard but we need each other,love
39,eden,sex,And I said what s up What you been thinking Cause you ve been staring at that roof so long I swear it s come alive And she spoke nine words and now we re sinking But I can t find it in myself to want to lie to keep this thing from going down Cause that girl took my heart And I ain t want it back No I m laying down my cards Cause you said it meant nothing And I should ve kept my silence But I guess I m too attached to my own pride to let you know That all these words meant nothing And I ve always been this heartless But we re just having sex no I would never call it love But love Oh no I think I m catching feelings And I don t know if this is empathy I feel Just hold on Remember why you said this was the last time,love
40,birdy,skinny love,Come on skinny love just last the year Pour a little salt we were never here My my my my my my my my my my Staring at the sink of blood and crushed veneer I tell my love to wreck it all Cut out all the ropes and let me fall My my my my my my my my my my Right in this moment this order s tall And I told you to be patient And I told you to be fine And I told you to be balanced And I told you to be kind And in the morning I ll be with you But it will be a different kind And I ll be holding all the tickets And you ll be owning all the fines Come on skinny love what happened here Suckle on the hope in light brassieres My my my my my my my my my my Sullen load is full so slow on the split,love
41,jaymes young,happiest year,I m really on the ropes this time I ve been fighting all my life for you I never should ve said goodbye But maybe that s what stupid people do Cause you gave me peace And I wasted it I m here to admit That you were my medicine Oh I couldn t quit And I m down on my knees again Asking for nothing Thank you for the happiest year of my life Thank you for the happiest year of my life ooh Ooh ooh ooh Don t think I could forgive myself I m sorry for the ways that I used you And I could care less right now But you know you hurt me pretty good too,love
42,kian,waiting,Can I take you back to the day we met When I stuttered all my words And I know that made you laugh And the way you flicked your hair And I saw the smile you had Yeah I know there s somethin there s somethin Oh there s somethin bout you You been gone a while I m like where you been Just split with another man isn t that like number ten You say you feelin alone and now you need a friend And oh there s somethin there s somethin oh There s somethin bout you you There s somethin bout you There s somethin bout There s somethin bout you If you got a moment to spare I ve got something to say I m usually impatient but girl I ll be happy to wait I m losing sleep over dreamin of you Cause if it ain t me then who If you feel the same Hope you feel the same If you feel the same Hope you feel the same,love
43,lauv,i like me better,To be young and in love in New York City To not know who I am but still know that I m good long as you re here with me To be drunk and in love in New York City Midnight into morning coffee burning through the hours talking Damn I like me better when I m with you I like me better when I m with you I knew from the first time I d stay for a long time cause I like me better when I like me better when I m with you I don t know what it is but I got that feeling Waking up in this bed next to you swear the room yeah it got no ceiling If we lay let the day just pass us by I might get to too much talking I might have to tell you something Damn I like me better when I m with you I like me better when I m with you I knew from the first time I d stay for a long time cause I like me better when I like me better when I m with you,love
44,the vamps,just my type,M m m m m my more than meets the eye To tell the truth would be a lie I saw her out on Friday night misunderstood She s falling for a guy That cigarette it needs a light Pluck up the courage and invite her nowhere good Cause I need this more than just a one night stand Need that honey when she hold my hand Times like this they call for true romance But she s not ready for that She lets me down Then gets me high Oh I don t know why She s just my type She s bad advice I don t think twice Oh I don t know why She s what I like But I I I love it I I I love it Love the way she plays with my head She lets me down Then gets me high Oh I don t know why She s just my type,love
45,the vamps,somebody to you,Yeah you Yeah you I used to wanna be Living like there s only me But now I spend my time Thinking bout a way to get you off my mind I used to be so tough Never really gave enough And then you caught my eye Giving me the feeling of a lightning strike Look at me now I m falling I can t even talk still stuttering This ground I m on it keeps shaking Oh oh oh now All I wanna be yeah all I ever wanna be yeah yeah Is somebody to you All I wanna be yeah all I ever wanna be yeah yeah Is somebody to you Everybody s trying to be a billionaire But every time I look at you I just don t care Cause all I wanna be yeah all I ever wanna be yeah yeah Is somebody to you,love
46,avicii,waiting for love,Where there s a will there s a way kinda beautiful And every night has its day so magical And if there s love in this life there s no obstacle That can t be defeated For every tyrant a tear for the vulnerable In every lost soul the bones of a miracle For every dreamer a dream we re unstoppable With something to believe in Monday left me broken Tuesday I was through with hopin Wednesday my empty arms were open Thursday waiting for love waiting for love Thank the stars it s Friday I m burning like a fire gone wild on Saturday Guess I won t be coming to church on Sunday I ll be waiting for love Waiting for love to come around We are one of a kind irreplaceable How did I get so blind and so cynical If there s love in this life we re unstoppable No we can t be defeated,love
47,calum scott,you are the reason,There goes my heart beating Cause you are the reason I m losing my sleep Please come back now And there goes my mind racing And you are the reason That I m still breathing I m hopeless now I d climb every mountain And swim every ocean Just to be with you And fix what I ve broken Oh cause I need you to see That you are the reason There goes my hands shaking And you are the reason My heart keeps bleeding I need you now If I could turn back the clock I d make sure the light defeated the dark I d spend every hour of every day Keeping you safe,love
48,alessia cara,wild things,Find table spaces Say your social graces Bow your head they re pious here But you and I we re pioneers We make our own rules Our own room no bias here Let em sell what they are sellin There are no buyers here So gather all the rebels now We ll rebel rouse and sing aloud We don t care what they say no way no way And we will leave the empty chairs To those who say we can t sit there We re fine all by ourselves So aye we brought our drum and this is how we dance No mistakin we make our breaks if you don t like our 808s Then leave us alone cause we don t need your policies We have no apologies for being Find me where the wild things are Oh my we ll be alright Don t mind us yeah Find me where the wild things are Oh my we ll be just fine Don t mind us yeah Find me where the wild things are,love
49,james arthur,impossible,Mmm hmm mm I remember years ago Someone told me I should take Caution when it comes to love I did And you were strong and I was not My illusion my mistake I was careless I forgot I did And now when all is done There is nothing to say You have gone and so effortlessly You have won you can go ahead tell them Tell them all I know now Shout it from the rooftops Write it on the skyline All we had is gone now Tell them I was happy And my heart is broken All my scars are open Tell them what I hoped would be Impossible impossible Impossible impossible,love
50,johnny orlando,phobias,I know it s probably in my head But she got me checking under the bed For you I m a nervous wreck for you I m a little paranoid And you know that I ve been I m avoiding you Baby I m a mess it s true And I don t like falling Cause I never Been good with heights And not being right But maybe I m stalling Cause I never made any time For you and I I ve been hurt before And that s why I close the door Scared of the dark And broken hearts I can t let you in Cause I m crawling in my skin Oh I ve been scarred By broken hearts,love
51,bruno mars,just the way you are,Oh oh oh oh Oh oh oh oh Oh oh oh Oh her eyes her eyes Make the stars look like they re not shinin Her hair her hair Falls perfectly without her tryin She s so beautiful And I tell her every day Yeah I know I know When I compliment her she won t believe me And it s so it s so Sad to think that she don t see what I see But every time she asks me Do I look okay I say When I see your face There s not a thing that I would change Cause you re amazing Just the way you are And when you smile The whole world stops and stares for a while Cause girl you re amazing Just the way you are Yeah,love
52,prxz,love is more depressing than depression,Father forgive me for you know that I am always sinning I take no interest partying with liquor fucking up my system Excuse my language that s a hang up on how shitty I been feeling I m sorry I feel no attraction I know that it s been a minute Cause I ve been so alone for so long oh oh oh yeah Cause I ve been so alone for so long oh oh oh yeah Cause I ve been s so long oh oh oh yeah Cause I ve been so alone for so long oh oh oh Father forgive me for you know that I am always sinning I take no interest partying with liquor fucking up my system Excuse my language that s a hang up on how shitty I been feeling I m sorry I feel no attraction I know that it s been a minute Cause I ve been so alone for so long oh oh oh yeah Cause I ve been so alone for so long oh oh oh yeah Cause I ve been s so long oh oh oh yeah Cause I ve been so alone for so long oh oh oh,love
